INFO 2024-11-20 04:33:34,477 Watching for file changes with StatReloader
WARNING 2024-11-20 05:08:06,872 Forbidden: /api/courses/
WARNING 2024-11-20 05:08:08,551 Forbidden: /api/courses/
WARNING 2024-11-20 05:08:10,161 Not Found: /api/grades/
WARNING 2024-11-20 05:08:11,827 Not Found: /api/grades/1/
WARNING 2024-11-24 13:09:57,220 Forbidden: /api/courses/
WARNING 2024-11-24 13:09:58,673 Forbidden: /api/courses/
WARNING 2024-11-24 13:10:00,111 Forbidden: /api/courses/
WARNING 2024-11-24 13:10:01,568 Forbidden: /api/courses/
WARNING 2024-11-24 13:10:02,993 Forbidden: /api/courses/
WARNING 2024-11-24 13:10:04,429 Unauthorized: /api/courses/
WARNING 2024-11-24 13:10:05,802 Not Found: /api/grades/
WARNING 2024-11-24 13:10:07,246 Not Found: /api/grades/1/
WARNING 2024-11-24 13:17:30,179 Not Found: /api/auth/token/login/
WARNING 2024-11-24 13:17:31,669 Not Found: /api/auth/token/login/
WARNING 2024-11-24 13:17:33,048 Not Found: /api/auth/token/login/
WARNING 2024-11-24 13:17:34,538 Not Found: /api/auth/token/login/
WARNING 2024-11-24 13:17:36,005 Not Found: /api/auth/token/login/
WARNING 2024-11-24 13:17:37,479 Not Found: /api/auth/token/login/
WARNING 2024-11-24 13:17:38,971 Not Found: /api/grades/
WARNING 2024-11-24 13:17:40,450 Not Found: /api/grades/1/
WARNING 2024-11-24 13:21:02,649 Forbidden: /api/courses/
WARNING 2024-11-24 13:21:05,745 Forbidden: /api/courses/
WARNING 2024-11-24 13:21:08,906 Forbidden: /api/courses/
WARNING 2024-11-24 13:21:11,929 Forbidden: /api/courses/1/
WARNING 2024-11-24 13:21:13,484 Not Found: /api/grades/
WARNING 2024-11-24 13:21:15,070 Not Found: /api/grades/1/
WARNING 2024-11-24 13:27:49,294 Forbidden: /api/courses/
WARNING 2024-11-24 13:27:52,295 Forbidden: /api/courses/
WARNING 2024-11-24 13:27:55,330 Forbidden: /api/courses/
WARNING 2024-11-24 13:27:58,344 Forbidden: /api/courses/1/
INFO 2024-11-24 13:32:09,032 Watching for file changes with StatReloader
WARNING 2024-11-24 13:32:10,672 Not Found: /
WARNING 2024-11-24 13:32:10,673 "GET / HTTP/1.1" 404 2772
WARNING 2024-11-24 13:32:10,833 Not Found: /favicon.ico
WARNING 2024-11-24 13:32:10,834 "GET /favicon.ico HTTP/1.1" 404 2823
INFO 2024-11-24 13:32:18,261 "GET /api/auth/users/ HTTP/1.1" 200 13380
INFO 2024-11-24 13:32:18,295 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
INFO 2024-11-24 13:32:18,298 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
INFO 2024-11-24 13:32:18,299 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
INFO 2024-11-24 13:32:18,300 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
INFO 2024-11-24 13:32:18,302 "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
INFO 2024-11-24 13:32:18,305 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 304 0
INFO 2024-11-24 13:32:18,306 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
INFO 2024-11-24 13:32:18,307 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
INFO 2024-11-24 13:32:18,307 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
INFO 2024-11-24 13:32:18,309 "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
INFO 2024-11-24 13:32:18,310 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 304 0
INFO 2024-11-24 13:32:18,317 "GET /static/rest_framework/img/grid.png HTTP/1.1" 304 0
INFO 2024-11-24 13:32:18,390 "GET /static/rest_framework/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 0
INFO 2024-11-24 13:35:23,609 "GET /admin/ HTTP/1.1" 200 10162
INFO 2024-11-24 13:35:23,805 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2804
INFO 2024-11-24 13:35:23,809 "GET /static/admin/css/base.css HTTP/1.1" 200 22092
INFO 2024-11-24 13:35:23,817 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2024-11-24 13:35:23,820 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2024-11-24 13:35:23,828 "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2024-11-24 13:35:23,837 "GET /static/admin/css/responsive.css HTTP/1.1" 200 17972
INFO 2024-11-24 13:35:23,865 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
